as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"September 01, 2020",Amanda Simard,Glengarry-Prescott-Russell,Salary - Legislative Assembly of Ontario.,Nil.,Nil.,Nil.,"Global Chair, International Network of Young Parliamentarians with the Assemblée parlementaire de la Francophonie."
"September 01, 2020",Amarjot Sandhu,Brampton West,"Salary - Legislative Assembly of Ontario.
Real estate commissions - Royal LePage Flower City.
Rental income.","Investment property:
58 Sandy Beach Road, Brampton, ON - 50% interest.",Mortgage - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2020",Amy Fee,Kitchener South - Hespeler,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Andrea Horwath,Hamilton Centre,"Salary - Legislative Assembly of Ontario, Leader of the New Democratic Party.
Rental income.","Investment property - 76 West Avenue North, Hamilton, ON.","Mortgages, Line of credit - First Ontario Credit Union.",Nil.,Nil.
"September 01, 2020",Andrea Khanjin,Barrie-Innisfil,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Nil.,Nil.,Nil.
"September 01, 2020",Aris Babikian,Scarborough-Agincourt,"Salary - Legislative Assembly of Ontario.
Pension - Public Service Superannuation.",Common shares: Sun Life Financial.,"Mortgage, Line of credit - Bank of Montreal.","MPP Babikian was a member of a delegation to Taiwan and accepted the following from the Taipei Economic & Cultural Office: travel, meals and accommodation.",Nil.
"September 01, 2020",Belinda Karahalios,Cambridge,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - MCAP.,Nil.,Nil.
"September 01, 2020",Bhutila Karpoche,Parkdale-High Park,"Salary - Legislative Assembly of Ontario.
Rental income.","Properties - Unit, 1 Bedford Road, Toronto, ON - 100% interest; Unit, 5 Soudan Avenue, Toronto, ON - 50% interest.
Investment and registered accounts:
Shares - Vivo Cannabis Inc., Smart Centres REIT.
Shares (RESP) - Toronto-Dominion Bank, Enbridge, Royal Bank of Canada, SoftBank Group, Vivo Cannabis Inc., Smart Centres REIT.","Mortgage, Lines of credit, Guarantor for Gerti Dervishi - TD Bank.",Nil.,Nil.
"September 01, 2020",Bill Walker,Bruce-Grey-Owen Sound,"Salary - Legislative Assembly of Ontario, Minister.","Investment and registered accounts:
Shares - Sun Life Financial.
(Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Walker is not required to place these shares in trust on the condition that he does not buy, sell or trade same.)",Line of credit - TD Bank.,Nil.,Nil.
"September 01, 2020",Billy Pang,Markham-Unionville,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Rental income.","Investment property - Unit, 60 Brian Harrison Way, Toronto - 50% interest.

Investment and registered accounts:
Sector-specific fund - Signature Global REIT.","Mortgages - Bank of Montreal, HSBC.",Nil.,Director - Chinese Gospel Broadcasting Centre.
"September 01, 2020",Bob Bailey,Sarnia-Lambton,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pension - CPP.","Investment and registered accounts:
Shares - Canadian National Railway, Royal Bank of Canada, Enbridge Inc., Suncor Energy Inc., TC Energy Corp., Toronto Dominion Bank, Bank of Montreal.
Sector-specific fund: United Financial Real Estate Investment Pool.",Lines of credit - Bank of Nova Scotia.,Nil.,Nil.
"September 01, 2020",Caroline Mulroney,York-Simcoe,"Salary - Legislative Assembly of Ontario, Minister.",Nil.,Line of credit - Canadian Imperial Bank of Commerce.,Nil.,Nil.
"September 01, 2020",Catherine Fife,Waterloo,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Shares - Cinemar Holdings, Graf Industrial.",Nil.,Nil.,Nil.
"September 01, 2020",Chris Glover,Spadina-Fort York,"Salary - Legislative Assembly of Ontario.
Rental income.","Investment Property - 76 Concord Avenue, Toronto - 100% interest.",Mortgage - Bank of Nova Scotia.,Nil.,Nil
"September 01, 2020",Christina Mitas,Scarborough Centre,Salary - Legislative Assembly of Ontario.,Nil.,Loan - Ontario Student Assistance Program.,Nil.,Nil.
"September 01, 2020",Christine Elliott,Newmarket-Aurora,"Salary - Legislative Assembly of Ontario, Minister.
Pensions - CPP, Public Service of Canada Superannuation.
Royalties - Thomson Reuters.","Management trust dated October 30, 2018.",Mortgage - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2020",Christine Hogarth,Etobicoke-Lakeshore,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Investment property - Unit, 650 Queens Quay, Toronto, ON - 100% interest.
Investment and registered accounts:
Sector-specific fund - United Real Estate Investment Pool Class E.","Mortgages - First National, TD Bank.",Nil.,Nil.
"September 01, 2020",Daisy Wai,Richmond Hill,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Private companies:
Ad2000 Beyond Advertising Inc. - 50% interest (active).
Ad2000 Expo and Beyond Inc. - 50% interest (inactive).

Mortgage held through Nobleton North Holdings for PT Lot 10, Con 8 King.","Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,President and CEO - Ad2000 Beyond Advertising Inc.
"September 01, 2020",Daryl Kramp,Hastings-Lennox and Addington,"Salary - Legislative Assembly of Ontario.
Pensions - Government of Canada, CPP.
Directors' Fees - Vivo Cannabis Inc.","Private company - Ed Kramp & Son Ltd. - 50% interest (active).
Investment and registered accounts:
Common shares - TransCanada Corp., Vivo Cannabis Inc., Intact Financial Corp., Magna International Inc., Berkshire Hathaway Inc.
Preferred shares - Brookfield Asset Management Inc.
Sector Specific Funds - iShares Equal Weight Banc & Lifeco ETF.",Nil.,Nil.,Director - Vivo Cannabis Inc.
"September 01, 2020",Dave Smith,Peterborough-Kawartha,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,"Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",David Piccini,Northumberland-Peterborough South,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Mortgage - Royal Bank of Canada.,Nil.,Nil.
"September 01, 2020",Deepak Anand,Mississauga-Malton,"Salary - Legislative Assembly of Ontario.
Rental income.","Vacant lot - CON 12 PT 13 RP 16R3948 Part 1 - 100% interest.

Investment and registered accounts:
Common shares - Canadian Natural Resources Ltd., Medical Facilities Corp., Cenovus Energy Inc., Manulife Financial Corp., Wajax Corp., Ovintiv Inc., Yamana Gold Inc., Albireo Pharma Inc.
Sector-specific funds - Betapro Natural Gas ETF.

Private companies:
Godden Distribution - 100% interest (active).
Meaningful Media Inc. - 100% interest (active).
6930069 Canada Inc. - 50% interest (active).","Mortgage, Lines of credit - Canadian Imperial Bank of Commerce, Royal Bank of Canada.",Nil.,"Director - Godden Distribution.
Director - Meaningful Media Inc."
"September 01, 2020",Doly Begum,Scarborough Southwest,Salary - Legislative Assembly of Ontario.,"Investment property - 127 Leyton Avenue, Scarborough, ON - 50% interest.","Mortgages - Bank of Nova Scotia.
Lines of credit - Toronto Dominion Bank, Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Donna Skelly,Flamborough-Glanbrook,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Investment and registered accounts:
Sector-specific fund - CI Investments Global Resource.","Mortgage, Line of credit - Scotiabank.",Nil.,Nil.
"September 01, 2020",Doug Downey,Barrie-Springwater-Oro-Medonte,"Salary - Legislative Assembly of Ontario, Minister.","Private company - Newfirm Investments Inc. (Holding company that leases property to law firm, Downey Tornosky Lassaline & Timpano Law Professional Corporation.) - 25% interest (Minister Downey has no interest in his former law firm).
Pursuant to section 13 of the Members’ Integrity Act, 1994 the Integrity Commissioner has ruled that Minister Downey is not required to place his interest in Newfirm Investments Inc. in trust.","Guarantor for Jennifer Downey (mortgage) - Meridian Credit Union.
Line of credit - Bank of Montreal.",Nil.,Nil.
"September 01, 2020",Doug Ford,Etobicoke North,"Salary - Legislative Assembly of Ontario, Premier.","Management trust dated August 28, 2018.","Mortgages, Line of credit - TD Bank.",Nil.,Nil.
"September 01, 2020",Effie Triantafilopoulos,Oakville North-Burlington,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.
Pension - CPP.","Investment property:
Unit, 7711 Green Vista Place, Niagara Falls, ON - 50% interest.",Mortgage - HSBC Canada.,"MPP Triantafilopoulos attended board meetings with the World Hellenic Inter-Parliamentary Association in Athens, Greece in January 2020 and received the following from the association: travel, meals and accommodation.","Vice-president and director, World Hellenic Inter-Parliamentary Association."
"September 01, 2020",Ernie Hardeman,Oxford,"Salary - Legislative Assembly of Ontario, Minister.
Pension - CPP.
Investment income.","Investment and registered accounts:
Sector-specific note - RBC Lions Canadian Banks Booster Securities.
Trust Units - Timbercreek Four Quadrant Global Real Estate Partners, Starlight Hybrid Global Real Assets Trust.
(Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Hardeman is not required to place these securities in trust on the condition that he does not buy, sell or trade same.)",Nil.,Nil.,Nil.
"September 01, 2020",Faisal Hassan,York South-Weston,Salary - Legislative Assembly of Ontario.,Nil.,Nil.,Nil.,Nil.
"September 01, 2020",France Gelinas,Nickel Belt,Salary - Legislative Assembly of Ontario.,"Investment and registered accounts:
Common shares and units - Brookfield Renewable, Johnson & Johnson, Algonquin Power, BCE Inc., Power Financial, Royal Bank of Canada, TC Energy Corp., Telus Corp.",Nil.,Nil.,Nil.
"September 01, 2020",Gila Martow,Thornhill,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.","Investment and registered accounts:
Shares - Brookfield Asset Management Inc., Bank of Montreal, BCE Inc., Canadian National Railway, Canadian Pacific Railway, Royal Bank of Canada, Amazon Inc., Alphabet Inc., Adobe Inc, Apple Inc, Berkshire Hathaway Inc, Costco Wholesale Corp., Danaher Corp., Facebook Inc., Johnson & Johnson, Mastercard Inc., Microsoft Corp., Slack Technologies Inc., Thermo Fisher Scientific Inc., Bank of Nova Scotia, Element Fleet Management Corp., Enbridge Inc., Empire Co. Ltd., Intact Financial Corp., Northland Power Inc., Open Text Corp., Pembina Pipeline Corp., Shaw Communications Inc., Thomson Reuters Corp., TC Energy Corp., Telus Corp., Toronto-Dominion Bank, Accenture, American Tower Corp., Alcon Inc., Analog Devices Inc., Brookfield Asset Management Inc., Becton Dickinson & Co., Cognizant Technology Solutions Corp., Copart Inc., Dollar Tree Inc., Jacobs Engineering Group Inc., Liberty Broadband Corporation, Linde PLC, Lowes Companies Inc., Marsh & McLennan Companies Inc., PPG Industries Inc., Paccar Inc., Progressive Corp., TE Connectivity Ltd., US Bancorp, Varian Medical Systems Inc., Visa Inc.,Apple Inc., Dollar General Corp., Uber Technologies Inc.
Trust units - Canadian Apartment REIT, Brookfield Infrastructure Partners.",Nil.,Nil.,Nil.
"September 01, 2020",Gilles Bisson,Timmins,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Goldie Ghamari,Carleton,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage - Tangerine Bank.
Loan - Ontario Student Assistance Program.
Loans - Scotiabank.",Nil.,Director - Somali Hope Academy Foundation.
"September 01, 2020",Greg Rickford,Kenora-Rainy River,"Salary - Legislative Assembly of Ontario, Minister.","Investment and registered accounts:
Sector-specific fund - Mortgage Company of Canada.
Trust units - Centurion Apartment REIT, Rise Properties Trust.
(Pursuant to s.13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Rickford is not required to place these securities in trust on the condition that he does not buy, sell or trade same.)","Mortgage, Line of credit - Bank of Nova Scotia.",Nil.,Nil.
"September 01, 2020",Gurratan Singh,Brampton East,Salary - Legislative Assembly of Ontario.,"Private companies:
2271202 Ontario Inc. - 100% interest (active).
2499978 Ontario Inc. - 50% interest (inactive).
Investment and registered accounts:
BCE Inc., Toronto-Dominion Bank, Team Inc., Apple Inc., PAR Technology.
Shares - Impossible Foods Inc., Cohesity.",Nil.,Nil.,Director - 2271202 Ontario Inc.
"September 01, 2020",Guy Bourgouin,Mushkegowuk-James Bay,Salary - Legislative Assembly of Ontario.,Nil.,Line of credit - TD Bank.,Nil.,Nil.
"September 01, 2020",Ian Arthur,Kingston and the Islands,Salary - Legislative Assembly of Ontario.,Nil.,"Mortgage, Line of credit - Royal Bank of Canada.",Nil.,Nil.
"September 01, 2020",Jamie West,Sudbury,Salary - Legislative Assembly of Ontario.,Nil.,Mortgage - Manulife.,Nil.,Nil.
"September 01, 2020",Jane McKenna,Burlington,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant.",Nil.,Line of Credit - Royal Bank of Canada.,Nil.,Nil.
